"BehaviorSpace results (NetLogo 6.0.4)"
"2019-03-05_SwiFCoIBMove_R0.nlogo"
"R0_mue4_base"
"03/08/2019 23:45:56:003 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","24","0","49"
"[run number]","case_fatality","file","roaming","mue","q","run_years","seed_setup","mean_quality","herd_prop","release_fct","longevity","age_blur","fem_prob","dist_disp","year_release","fert_red","fetal_inf","t_anti","t_trans","b_within","b_between","b_move","[step]","inf_size","inf_roam","count turtles with [epi_stat = ""esNew""]","count patches with [is_infected = 1]","seed"
"13","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","1","2","14"
"1","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","2","1","2"
"2","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","3","3","3"
"20","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","0","1","21"
"14","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","1","1","15"
"6","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","2","1","7"
"3","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","1","0","1","4"
"9","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","1","2","10"
"4","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","1","1","5"
"19","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","3","3","20"
"18","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","0","1","19"
"11","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","1","1","1","12"
"8","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","0","1","9"
"7","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","0","1","8"
"17","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","1","2","18"
"12","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","1","2","2","13"
"16","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","1","1","17"
"10","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","0","1","11"
"15","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","1","3","3","16"
"5","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","1","2","1","6"
"21","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","1","3","1","22"
"22","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","2","1","23"
"23","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","2","2","24"
"38","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","2","3","39"
"30","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","2","3","31"
"27","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","1","1","28"
"26","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","1","1","1","27"
"32","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","2","1","33"
"35","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","2","1","36"
"40","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","3","2","41"
"36","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","2","1","37"
"29","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","2","2","30"
"24","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","1","1","25"
"37","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","1","1","38"
"25","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","1","1","26"
"33","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","1","0","1","34"
"31","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","2","2","32"
"39","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","1","1","40"
"34","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","3","2","35"
"28","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","1","1","1","29"
"41","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","0","1","42"
"43","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","2","1","44"
"42","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","0","1","43"
"45","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","4","2","46"
"44","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","1","1","1","45"
"46","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","2","2","47"
"48","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","1","1","49"
"47","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","1","0","1","48"
"51","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","3","3","52"
"50","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","0","1","2","51"
"52","1","hom","OFF","4","0.7","2","BS","4.5","100","4.5","11","6","0.5","3","1","0.625","0.5","12","1","0.021","0.0021","0.021","7","0","1","3","4","53"
